Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java,1,1,27,27,27.0,27,27,27.0,27,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,2,1,88,89,44.0,84,88,44.0,84,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,4,3,283,36,9.0,23,30,7.0,23,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,2,2,175,12,6.0,7,24,12.0,21,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,4,2,507,29,7.0,15,25,6.0,16,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,1,1,209,5,5.0,5,5,5.0,5,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,1,1,147,5,5.0,5,3,3.0,3,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1,1,98,1,1.0,1,0,0.0,0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java,1,1,132,132,132.0,132,132,132.0,132,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,1,1,236,236,236.0,236,236,236.0,236,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,3,2,227,49,16.0,26,46,15.0,26,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,3,2,172,20,6.0,10,18,6.0,8,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,9,2,507,153,17.0,61,114,12.0,59,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,1,1,90,90,90.0,90,90,90.0,90,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java,1,1,58,58,58.0,58,58,58.0,58,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,0,0,132,0,0.0,0,0,0.0,0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,4,1,529,9,2.0,5,4,1.0,3,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,10,3,694,193,19.0,48,107,10.0,43,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,0,0,148,0,0.0,0,0,0.0,0,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,0,0,174,0,0.0,0,0,0.0,0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,0,0,148,0,0.0,0,0,0.0,0,No
