@relation bookkeeper4Training-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.0,2,2,101,19,9.5,18,11,5.5,9,No
4.2.0,1,1,27,27,27,27,27,27,27,No
4.2.0,0,0,22,0,0,0,0,0,0,No
4.2.0,3,2,489,11,3.666667,5,8,2.666667,5,No
4.2.0,0,0,62,0,0,0,0,0,0,No
4.2.0,1,1,59,4,4,4,1,1,1,No
4.2.0,1,1,99,5,5,5,5,5,5,No
4.2.0,0,0,27,0,0,0,0,0,0,No
4.2.0,0,0,77,0,0,0,0,0,0,No
4.2.0,7,2,846,298,42.571429,128,124,17.714286,73,No
4.2.0,2,1,64,2,1,1,0,0,0,No
4.2.0,0,0,45,0,0,0,0,0,0,No
4.2.0,0,0,63,0,0,0,0,0,0,No
4.2.0,1,1,54,17,17,17,17,17,17,No
4.2.0,0,0,64,0,0,0,0,0,0,No
4.2.0,1,1,132,9,9,9,8,8,8,No
4.2.0,2,1,177,7,3.5,5,5,2.5,4,No
4.2.0,1,1,70,70,70,70,70,70,70,No
4.2.0,0,0,36,0,0,0,0,0,0,No
4.2.0,0,0,58,0,0,0,0,0,0,No
4.2.0,0,0,62,0,0,0,0,0,0,No
4.2.0,0,0,132,0,0,0,0,0,0,No
4.2.0,0,0,74,0,0,0,0,0,0,No
4.2.0,0,0,83,0,0,0,0,0,0,No
4.2.0,0,0,74,0,0,0,0,0,0,No
4.2.0,0,0,48,0,0,0,0,0,0,No
4.2.0,1,1,74,20,20,20,14,14,14,No
4.2.0,0,0,86,0,0,0,0,0,0,No
4.2.0,2,1,355,22,11,20,0,0,0,No
4.2.0,0,0,53,0,0,0,0,0,0,No
