@relation bookkeeper4Testing-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.2.1}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.1,0,0,42,0,0,0,0,0,0,No
4.2.1,0,0,624,0,0,0,0,0,0,No
4.2.1,0,0,377,0,0,0,0,0,0,No
4.2.1,0,0,383,0,0,0,0,0,0,Yes
4.2.1,0,0,72,0,0,0,0,0,0,No
4.2.1,0,0,92,0,0,0,0,0,0,No
4.2.1,1,1,282,1,1,1,2,2,2,No
4.2.1,0,0,371,0,0,0,0,0,0,No
4.2.1,0,0,47,0,0,0,0,0,0,No
4.2.1,0,0,108,0,0,0,0,0,0,No
4.2.1,0,0,111,0,0,0,0,0,0,No
4.2.1,0,0,319,0,0,0,0,0,0,No
4.2.1,0,0,129,0,0,0,0,0,0,No
4.2.1,0,0,49,0,0,0,0,0,0,No
4.2.1,0,0,358,0,0,0,0,0,0,No
4.2.1,0,0,277,0,0,0,0,0,0,No
4.2.1,0,0,49,0,0,0,0,0,0,No
4.2.1,0,0,89,0,0,0,0,0,0,No
4.2.1,0,0,41,0,0,0,0,0,0,No
4.2.1,0,0,66,0,0,0,0,0,0,No
4.2.1,0,0,63,0,0,0,0,0,0,No
4.2.1,0,0,24,0,0,0,0,0,0,No
4.2.1,0,0,50,0,0,0,0,0,0,No
4.2.1,0,0,72,0,0,0,0,0,0,No
4.2.1,0,0,47,0,0,0,0,0,0,No
4.2.1,0,0,47,0,0,0,0,0,0,No
4.2.1,0,0,183,0,0,0,0,0,0,No
4.2.1,0,0,49,0,0,0,0,0,0,No
4.2.1,0,0,50,0,0,0,0,0,0,No
4.2.1,0,0,98,0,0,0,0,0,0,No
4.2.1,0,0,143,0,0,0,0,0,0,No
4.2.1,0,0,43,0,0,0,0,0,0,No
4.2.1,0,0,42,0,0,0,0,0,0,No
4.2.1,0,0,56,0,0,0,0,0,0,No
4.2.1,0,0,44,0,0,0,0,0,0,No
4.2.1,0,0,26,0,0,0,0,0,0,No
4.2.1,0,0,254,0,0,0,0,0,0,No
4.2.1,0,0,16883,0,0,0,0,0,0,No
4.2.1,0,0,74,0,0,0,0,0,0,No
4.2.1,0,0,153,0,0,0,0,0,0,No
4.2.1,0,0,68,0,0,0,0,0,0,No
4.2.1,0,0,100,0,0,0,0,0,0,No
4.2.1,1,1,550,3,3,3,1,1,1,No
4.2.1,0,0,437,0,0,0,0,0,0,No
4.2.1,2,2,1038,8,4,6,5,2.5,4,No
4.2.1,1,1,104,9,9,9,3,3,3,No
4.2.1,1,1,332,2,2,2,1,1,1,No
4.2.1,0,0,123,0,0,0,0,0,0,No
4.2.1,0,0,106,0,0,0,0,0,0,No
4.2.1,0,0,106,0,0,0,0,0,0,No
4.2.1,1,1,94,2,2,2,1,1,1,No
4.2.1,1,1,101,2,2,2,0,0,0,No
4.2.1,0,0,38,0,0,0,0,0,0,No
4.2.1,3,2,628,45,15,33,44,14.666667,33,Yes
4.2.1,0,0,32,0,0,0,0,0,0,No
4.2.1,0,0,111,0,0,0,0,0,0,No
4.2.1,0,0,35,0,0,0,0,0,0,No
4.2.1,0,0,90,0,0,0,0,0,0,No
4.2.1,0,0,27,0,0,0,0,0,0,No
4.2.1,0,0,28,0,0,0,0,0,0,No
4.2.1,0,0,92,0,0,0,0,0,0,No
4.2.1,3,1,956,211,70.333333,199,73,24.333333,63,Yes
4.2.1,0,0,67,0,0,0,0,0,0,No
4.2.1,0,0,29,0,0,0,0,0,0,No
4.2.1,0,0,105,0,0,0,0,0,0,No
4.2.1,0,0,72,0,0,0,0,0,0,No
4.2.1,0,0,37,0,0,0,0,0,0,No
4.2.1,0,0,47,0,0,0,0,0,0,No
4.2.1,0,0,31,0,0,0,0,0,0,No
4.2.1,0,0,90,0,0,0,0,0,0,No
4.2.1,0,0,223,0,0,0,0,0,0,No
4.2.1,0,0,214,0,0,0,0,0,0,No
4.2.1,0,0,107,0,0,0,0,0,0,No
4.2.1,0,0,37,0,0,0,0,0,0,No
4.2.1,0,0,27,0,0,0,0,0,0,No
4.2.1,0,0,48,0,0,0,0,0,0,No
4.2.1,1,1,167,3,3,3,1,1,1,No
4.2.1,0,0,213,0,0,0,0,0,0,No
4.2.1,1,1,867,6,6,6,1,1,1,No
4.2.1,0,0,159,0,0,0,0,0,0,No
4.2.1,0,0,100,0,0,0,0,0,0,No
4.2.1,0,0,96,0,0,0,0,0,0,No
4.2.1,2,2,842,10,5,6,1,0.5,1,No
4.2.1,1,1,525,1,1,1,0,0,0,No
4.2.1,0,0,83,0,0,0,0,0,0,No
4.2.1,0,0,63,0,0,0,0,0,0,No
4.2.1,0,0,76,0,0,0,0,0,0,No
4.2.1,0,0,202,0,0,0,0,0,0,No
4.2.1,1,1,155,3,3,3,0,0,0,No
4.2.1,1,1,1263,2,2,2,1,1,1,No
4.2.1,0,0,74,0,0,0,0,0,0,No
4.2.1,0,0,101,0,0,0,0,0,0,No
4.2.1,0,0,27,0,0,0,0,0,0,No
4.2.1,0,0,22,0,0,0,0,0,0,No
4.2.1,1,1,491,3,3,3,2,2,2,No
4.2.1,0,0,62,0,0,0,0,0,0,No
4.2.1,0,0,59,0,0,0,0,0,0,No
4.2.1,0,0,99,0,0,0,0,0,0,No
4.2.1,0,0,27,0,0,0,0,0,0,No
4.2.1,0,0,77,0,0,0,0,0,0,No
4.2.1,0,0,846,0,0,0,0,0,0,Yes
4.2.1,0,0,64,0,0,0,0,0,0,No
4.2.1,0,0,45,0,0,0,0,0,0,No
4.2.1,0,0,63,0,0,0,0,0,0,No
4.2.1,0,0,54,0,0,0,0,0,0,No
4.2.1,0,0,64,0,0,0,0,0,0,No
4.2.1,0,0,132,0,0,0,0,0,0,No
4.2.1,0,0,177,0,0,0,0,0,0,No
4.2.1,0,0,70,0,0,0,0,0,0,No
4.2.1,0,0,36,0,0,0,0,0,0,No
4.2.1,0,0,58,0,0,0,0,0,0,No
4.2.1,0,0,62,0,0,0,0,0,0,No
4.2.1,0,0,132,0,0,0,0,0,0,No
4.2.1,0,0,74,0,0,0,0,0,0,No
4.2.1,1,1,86,5,5,5,3,3,3,No
4.2.1,0,0,74,0,0,0,0,0,0,No
4.2.1,0,0,48,0,0,0,0,0,0,No
4.2.1,0,0,74,0,0,0,0,0,0,No
4.2.1,0,0,86,0,0,0,0,0,0,No
4.2.1,0,0,355,0,0,0,0,0,0,No
4.2.1,0,0,53,0,0,0,0,0,0,No
4.2.1,1,1,804,8,8,8,6,6,6,No
4.2.1,0,0,75,0,0,0,0,0,0,No
4.2.1,0,0,125,0,0,0,0,0,0,No
4.2.1,0,0,200,0,0,0,0,0,0,No
4.2.1,0,0,134,0,0,0,0,0,0,No
4.2.1,0,0,57,0,0,0,0,0,0,No
4.2.1,0,0,123,0,0,0,0,0,0,No
4.2.1,1,1,266,87,87,87,62,62,62,Yes
4.2.1,0,0,162,0,0,0,0,0,0,No
4.2.1,0,0,130,0,0,0,0,0,0,Yes
