@relation output-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0,4.2.1,4.2.2}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.1.0,0,0,148,0,0,0,0,0,0,No
4.1.0,1,1,92,2,2,2,0,0,0,No
4.1.0,2,1,665,666,333,665,665,332,665,No
4.1.0,1,1,55,55,55,55,55,55,55,No
4.1.0,3,2,256,43,14,33,22,7,19,Yes
4.1.0,0,0,54,0,0,0,0,0,0,No
4.1.0,0,0,38,0,0,0,0,0,0,Yes
4.1.0,0,0,98,0,0,0,0,0,0,Yes
4.1.0,0,0,39,0,0,0,0,0,0,No
4.1.0,0,0,69,0,0,0,0,0,0,Yes
4.1.0,0,0,94,0,0,0,0,0,0,Yes
4.1.0,0,0,72,0,0,0,0,0,0,No
4.1.0,0,0,42,0,0,0,0,0,0,No
4.1.0,0,0,48,0,0,0,0,0,0,No
4.1.0,0,0,63,0,0,0,0,0,0,Yes
4.1.0,3,2,318,86,28,47,81,27,47,Yes
4.1.0,1,1,136,3,3,3,3,3,3,Yes
4.1.0,1,1,141,4,4,4,4,4,4,Yes
4.1.0,1,1,190,15,15,15,13,13,13,Yes
4.1.0,0,0,46,0,0,0,0,0,0,No
4.1.0,1,1,165,59,59,59,37,37,37,No
4.1.0,1,1,162,13,13,13,13,13,13,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,1,1,148,9,9,9,1,1,1,Yes
4.1.0,0,0,74,0,0,0,0,0,0,No
4.1.0,1,1,36,36,36,36,36,36,36,No
4.1.0,0,0,37,0,0,0,0,0,0,No
4.1.0,0,0,38,0,0,0,0,0,0,No
4.1.0,0,0,39,0,0,0,0,0,0,No
4.1.0,0,0,96,0,0,0,0,0,0,Yes
4.1.0,0,0,88,0,0,0,0,0,0,No
4.1.0,0,0,71,0,0,0,0,0,0,No
4.1.0,1,1,114,14,14,14,0,0,0,No
4.1.0,1,1,342,42,42,42,6,6,6,Yes
4.1.0,0,0,84,0,0,0,0,0,0,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,1,1,129,7,7,7,6,6,6,No
4.1.0,1,1,363,5,5,5,6,6,6,Yes
4.1.0,1,1,242,12,12,12,11,11,11,Yes
4.1.0,4,1,682,120,30,38,96,24,37,Yes
4.1.0,1,1,366,1,1,1,0,0,0,No
